SN,PN,DATANAME,DATA
RB231667,1259317,iRatio0-104,12258
RB231667,1259317,iRatio0-128,12282
RB231667,1259317,iRatio0-152,12400
RB231667,1259317,iRatio0-176,12570
RB231667,1259317,iRatio0-200,12739
RB231667,1259317,iRatio0-224,12696
RB231667,1259317,iRatio0-248,12654
RB231667,1259317,iRatio0-272,12685
RB231667,1259317,iRatio0-296,12867
RB231667,1259317,iRatio0-32,12041
RB231667,1259317,iRatio0-320,13045
RB231667,1259317,iRatio0-344,13085
RB231667,1259317,iRatio0-368,13054
RB231667,1259317,iRatio0-392,13023
RB231667,1259317,iRatio0-416,13036
RB231667,1259317,iRatio0-440,13047
RB231667,1259317,iRatio0-464,13095
RB231667,1259317,iRatio0-488,13221
RB231667,1259317,iRatio0-512,13348
RB231667,1259317,iRatio0-536,13345
RB231667,1259317,iRatio0-56,12152
RB231667,1259317,iRatio0-560,13280
RB231667,1259317,iRatio0-584,13213
RB231667,1259317,iRatio0-608,13210
RB231667,1259317,iRatio0-632,13209
RB231667,1259317,iRatio0-656,13212
RB231667,1259317,iRatio0-680,13225
RB231667,1259317,iRatio0-704,13237
RB231667,1259317,iRatio0-728,13292
RB231667,1259317,iRatio0-752,13367
RB231667,1259317,iRatio0-776,13443
RB231667,1259317,iRatio0-8,11928
RB231667,1259317,iRatio0-80,12234
RB231667,1259317,iRatio0-800,13375
RB233089,1259372,iRatio0-104,11883
RB233089,1259372,iRatio0-128,11953
RB233089,1259372,iRatio0-152,12009
RB233089,1259372,iRatio0-176,12059
RB233089,1259372,iRatio0-200,12108
RB233089,1259372,iRatio0-224,12192
RB233089,1259372,iRatio0-248,12277
RB233089,1259372,iRatio0-272,12369
RB233089,1259372,iRatio0-296,12474
RB233089,1259372,iRatio0-32,11661
RB233089,1259372,iRatio0-320,12579
RB233089,1259372,iRatio0-344,12584
RB233089,1259372,iRatio0-368,12539
RB233089,1259372,iRatio0-392,12494
RB233089,1259372,iRatio0-416,12508
RB233089,1259372,iRatio0-440,12524
RB233089,1259372,iRatio0-464,12565
RB233089,1259372,iRatio0-488,12663
RB233089,1259372,iRatio0-512,12760
RB233089,1259372,iRatio0-536,12772
RB233089,1259372,iRatio0-56,11739
RB233089,1259372,iRatio0-560,12742
RB233089,1259372,iRatio0-584,12711
RB233089,1259372,iRatio0-608,12689
RB233089,1259372,iRatio0-632,12668
RB233089,1259372,iRatio0-656,12611
RB233089,1259372,iRatio0-680,12483
RB233089,1259372,iRatio0-704,12355
RB233089,1259372,iRatio0-728,12328
RB233089,1259372,iRatio0-752,12352
RB233089,1259372,iRatio0-776,12375
RB233089,1259372,iRatio0-8,11583
RB233089,1259372,iRatio0-80,11814
RB233089,1259372,iRatio0-800,12290
RB233395,1259372,iRatio0-104,12002
RB233395,1259372,iRatio0-128,12052
RB233395,1259372,iRatio0-152,12108
RB233395,1259372,iRatio0-176,12166
